source_ref,target_ref,relation,confidence,note,element_text
AA.I.A.K2,risk-management,explanation,auto,from the Task A References line,"Powerplant–controls and indications, induction system, carburetor and fuel injection, turbocharging, cooling, mounting points, turbine wheels, compressors, deicing, anti-icing, and other related components."
AA.I.A.K2,seaplane,explanation,auto,from the Task A References line,"Powerplant–controls and indications, induction system, carburetor and fuel injection, turbocharging, cooling, mounting points, turbine wheels, compressors, deicing, anti-icing, and other related components."
AA.I.A.K3,ac-120-76e,guidance,auto,from the Task A References line,"Propellers–type, controls, feathering/unfeathering, auto-feather, negative torque sensing, synchronizing, synchrophasing, and thrust reverse, including uncommanded reverse procedures."
AA.I.A.K3,ac-91-78a,guidance,auto,from the Task A References line,"Propellers–type, controls, feathering/unfeathering, auto-feather, negative torque sensing, synchronizing, synchrophasing, and thrust reverse, including uncommanded reverse procedures."
AA.I.A.K3,afh,explanation,auto,from the Task A References line,"Propellers–type, controls, feathering/unfeathering, auto-feather, negative torque sensing, synchronizing, synchrophasing, and thrust reverse, including uncommanded reverse procedures."
AA.I.A.K3,risk-management,explanation,auto,from the Task A References line,"Propellers–type, controls, feathering/unfeathering, auto-feather, negative torque sensing, synchronizing, synchrophasing, and thrust reverse, including uncommanded reverse procedures."
AA.I.A.K3,seaplane,explanation,auto,from the Task A References line,"Propellers–type, controls, feathering/unfeathering, auto-feather, negative torque sensing, synchronizing, synchrophasing, and thrust reverse, including uncommanded reverse procedures."
AA.I.A.K4,ac-120-76e,guidance,auto,from the Task A References line,"Fuel system–capacity, drains, pumps, controls, indicators, cross-feeding, transferring, jettisoning, fuel grade, color and additives, fueling and defueling procedures, and fuel substitutions."
AA.I.A.K4,ac-91-78a,guidance,auto,from the Task A References line,"Fuel system–capacity, drains, pumps, controls, indicators, cross-feeding, transferring, jettisoning, fuel grade, color and additives, fueling and defueling procedures, and fuel substitutions."
AA.I.A.K4,afh,explanation,auto,from the Task A References line,"Fuel system–capacity, drains, pumps, controls, indicators, cross-feeding, transferring, jettisoning, fuel grade, color and additives, fueling and defueling procedures, and fuel substitutions."
AA.I.A.K4,risk-management,explanation,auto,from the Task A References line,"Fuel system–capacity, drains, pumps, controls, indicators, cross-feeding, transferring, jettisoning, fuel grade, color and additives, fueling and defueling procedures, and fuel substitutions."
AA.I.A.K4,seaplane,explanation,auto,from the Task A References line,"Fuel system–capacity, drains, pumps, controls, indicators, cross-feeding, transferring, jettisoning, fuel grade, color and additives, fueling and defueling procedures, and fuel substitutions."
AA.I.A.K5,ac-120-76e,guidance,auto,from the Task A References line,"Oil system–capacity, allowable types of oil, quantities, and indicators."
AA.I.A.K5,ac-91-78a,guidance,auto,from the Task A References line,"Oil system–capacity, allowable types of oil, quantities, and indicators."
AA.I.A.K5,afh,explanation,auto,from the Task A References line,"Oil system–capacity, allowable types of oil, quantities, and indicators."
AA.I.A.K5,risk-management,explanation,auto,from the Task A References line,"Oil system–capacity, allowable types of oil, quantities, and indicators."
AA.I.A.K5,seaplane,explanation,auto,from the Task A References line,"Oil system–capacity, allowable types of oil, quantities, and indicators."
AA.I.A.K6,ac-120-76e,guidance,auto,from the Task A References line,"Hydraulic system–capacity, pumps, pressure, reservoirs, allowable types of fluid, and regulators."
AA.I.A.K6,ac-91-78a,guidance,auto,from the Task A References line,"Hydraulic system–capacity, pumps, pressure, reservoirs, allowable types of fluid, and regulators."
AA.I.A.K6,afh,explanation,auto,from the Task A References line,"Hydraulic system–capacity, pumps, pressure, reservoirs, allowable types of fluid, and regulators."
AA.I.A.K6,risk-management,explanation,auto,from the Task A References line,"Hydraulic system–capacity, pumps, pressure, reservoirs, allowable types of fluid, and regulators."
AA.I.A.K6,seaplane,explanation,auto,from the Task A References line,"Hydraulic system–capacity, pumps, pressure, reservoirs, allowable types of fluid, and regulators."
AA.I.A.K7,ac-120-76e,guidance,auto,from the Task A References line,"Electrical system–alternators, generators, batteries, circuit breakers and protection devices, controls, indicators, and external and auxiliary power sources and ratings."
AA.I.A.K7,ac-91-78a,guidance,auto,from the Task A References line,"Electrical system–alternators, generators, batteries, circuit breakers and protection devices, controls, indicators, and external and auxiliary power sources and ratings."
AA.I.A.K7,afh,explanation,auto,from the Task A References line,"Electrical system–alternators, generators, batteries, circuit breakers and protection devices, controls, indicators, and external and auxiliary power sources and ratings."
AA.I.A.K7,risk-management,explanation,auto,from the Task A References line,"Electrical system–alternators, generators, batteries, circuit breakers and protection devices, controls, indicators, and external and auxiliary power sources and ratings."
